Key,File,Type,UsedInMainMenu,NoTranslate,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
qlSettingsCategoryStorageSyncCompatibility,UI,Menu,,,Status,Status,Estado,État,Stato,状態,상태,Status,Status,Статус,Durum,状态,狀態
qlSettingsCategoryStorageSyncCompatibilityTooltip,UI,Menu,,,Read-only compatibility and sync status,Schreibgeschützter Kompatibilitäts- und Synchronisierungsstatus,Estado de compatibilidad y sincronización en solo lectura,État de compatibilité et de synchronisation en lecture seule,Stato di compatibilità e sincronizzazione in sola lettura,読み取り専用の互換性と同期ステータス,읽기 전용 호환성 및 동기화 상태,Stan zgodności i synchronizacji tylko do odczytu,Status de compatibilidade e sincronização somente leitura,Статус совместимости и синхронизации только для чтения,Uyumluluk ve eşitleme durumunu salt okunur gösterir,只读的兼容性和同步状态,唯讀的相容性與同步狀態
qlSettingQuickLootEnabled,UI,Menu,,,Enable QuickLoot,QuickLoot aktivieren,Activar QuickLoot,Activer QuickLoot,Abilita QuickLoot,QuickLootを有効化,QuickLoot 활성화,Włącz QuickLoot,Ativar QuickLoot,Включить QuickLoot,QuickLoot'u Aç,启用 QuickLoot,啟用 QuickLoot
qlSettingQuickLootEnabledTooltip,UI,Menu,,,Master switch for the QuickLoot overlay,Hauptschalter für das QuickLoot-Overlay,Interruptor principal del panel QuickLoot,Interrupteur principal du panneau QuickLoot,Interruttore principale per il pannello QuickLoot,QuickLootオーバーレイのメインスイッチ,QuickLoot 오버레이의 전체 스위치,Główny przełącznik nakładki QuickLoot,Chave principal do painel QuickLoot,Главный переключатель оверлея QuickLoot,QuickLoot panelinin ana açma kapama ayarı,QuickLoot 覆盖面板的主开关,QuickLoot 覆蓋面板的主開關
qlSettingQuickLootAutoShow,UI,Menu,,,Auto Show,Automatisch anzeigen,Mostrar automáticamente,Affichage automatique,Mostra automaticamente,自動表示,자동 표시,Automatyczne pokazywanie,Mostrar automaticamente,Автопоказ,Otomatik Göster,自动显示,自動顯示
qlSettingQuickLootAutoShowTooltip,UI,Menu,,,Show the panel when looking at a valid loot target,Zeigt das Panel beim Ansehen eines gültigen Beuteziels,Muestra el panel al mirar un objetivo de botín válido,Affiche le panneau en regardant une source de butin valide,Mostra il pannello quando guardi un bersaglio di bottino valido,有効なルート対象を見るとパネルを表示,유효한 루팅 대상을 바라볼 때 패널 표시,"Pokazuje panel, gdy patrzysz na poprawny cel łupu",Mostra o painel ao olhar para um alvo de saque válido,Показывает панель при взгляде на допустимый объект лута,Geçerli ganimet hedefine bakınca paneli göster,看向有效搜刮目标时显示面板,看向有效搜刮目標時顯示面板
qlSettingSkipTraderArea,UI,Menu,,,Skip Trader Areas,Händlergebiete überspringen,Omitir zonas de comerciante,Ignorer les zones de marchand,Salta aree del commerciante,トレーダーエリアを無視,상인 구역 건너뛰기,Pomijaj obszary handlarzy,Ignorar áreas do comerciante,Пропускать зоны торговца,Tüccar Bölgelerini Atla,跳过商人区域,略過商人區域
qlSettingSkipTraderAreaTooltip,UI,Menu,,,Do not QuickLoot inside trader protected areas,QuickLoot nicht in geschützten Händlergebieten verwenden,No usar QuickLoot en zonas protegidas de comerciante,Ne pas utiliser QuickLoot dans les zones protégées des marchands,Non usare QuickLoot nelle aree protette del commerciante,トレーダー保護エリア内でQuickLootを使わない,상인 보호 구역에서 QuickLoot 사용 안 함,Nie używaj QuickLoot w chronionych obszarach handlarza,Não usar QuickLoot em áreas protegidas do comerciante,Не использовать QuickLoot в защищённых зонах торговца,Tüccar koruma alanlarında QuickLoot kullanma,不要在商人保护区内使用 QuickLoot,不要在商人保護區內使用 QuickLoot
qlSettingShowPickupPopup,UI,Menu,,,Pickup Popup,Aufnahme-Popup,Aviso de recogida,Notification de ramassage,Popup raccolta,取得ポップアップ,획득 팝업,Powiadomienie o podniesieniu,Pop-up de coleta,Всплывающее уведомление о подборе,Alma Bildirimi,拾取弹窗,拾取彈窗
qlSettingShowPickupPopupTooltip,UI,Menu,,,Show the normal item pickup popup,Normales Popup beim Aufnehmen von Gegenständen anzeigen,Muestra el aviso normal al recoger objetos,Affiche la notification normale de ramassage,Mostra il normale popup di raccolta oggetti,通常のアイテム取得ポップアップを表示,일반 아이템 획득 팝업 표시,Pokazuje normalne powiadomienie o podniesieniu przedmiotu,Mostra o pop-up normal de coleta de itens,Показывает обычное уведомление о подборе предмета,Normal eşya alma bildirimini göster,显示正常的物品拾取弹窗,顯示正常的物品拾取彈窗
qlSettingPlayPickupSound,UI,Menu,,,Pickup Sound,Aufnahme-Sound,Sonido de recogida,Son de ramassage,Suono raccolta,取得音,획득 소리,Dźwięk podniesienia,Som de coleta,Звук подбора,Alma Sesi,拾取音效,拾取音效
qlSettingPlayPickupSoundTooltip,UI,Menu,,,Play a sound when QuickLoot takes items,"Spielt einen Sound ab, wenn QuickLoot Gegenstände nimmt",Reproduce un sonido cuando QuickLoot toma objetos,Joue un son quand QuickLoot prend des objets,Riproduce un suono quando QuickLoot prende oggetti,QuickLootがアイテムを取得したときに音を再生,QuickLoot이 아이템을 가져갈 때 소리 재생,"Odtwarza dźwięk, gdy QuickLoot zabiera przedmioty",Reproduz um som quando o QuickLoot pega itens,"Воспроизводит звук, когда QuickLoot берёт предметы",QuickLoot eşya alınca ses çal,QuickLoot 拿取物品时播放音效,QuickLoot 拿取物品時播放音效
qlSettingDebugMode,UI,Menu,,,Debug Logging,Debug-Protokollierung,Registro de depuración,Journal de débogage,Registro debug,デバッグログ,디버그 로그,Logowanie debugowania,Registro de depuração,Отладочное логирование,Hata Ayıklama Kaydı,调试日志,除錯日誌
qlSettingDebugModeTooltip,UI,Menu,,,Print extra QuickLoot diagnostics,Zusätzliche QuickLoot-Diagnosen ausgeben,Imprime diagnósticos adicionales de QuickLoot,Affiche des diagnostics QuickLoot supplémentaires,Stampa diagnostica QuickLoot aggiuntiva,QuickLootの追加診断を出力,추가 QuickLoot 진단 출력,Wypisuje dodatkową diagnostykę QuickLoot,Imprime diagnósticos extras do QuickLoot,Выводит дополнительную диагностику QuickLoot,Ek QuickLoot tanı kayıtları yazdır,输出额外的 QuickLoot 诊断信息,輸出額外的 QuickLoot 診斷資訊
qlSettingShowIcons,UI,Menu,,,Show Icons,Symbole anzeigen,Mostrar iconos,Afficher les icônes,Mostra icone,アイコン表示,아이콘 표시,Pokaż ikony,Mostrar ícones,Показывать значки,İkonları Göster,显示图标,顯示圖示
qlSettingShowIconsTooltip,UI,Menu,,,Show item icons in QuickLoot rows,Gegenstandssymbole in QuickLoot-Zeilen anzeigen,Muestra iconos de objetos en las filas de QuickLoot,Affiche les icônes d’objets dans les lignes QuickLoot,Mostra le icone degli oggetti nelle righe QuickLoot,QuickLootの行にアイテムアイコンを表示,QuickLoot 행에 아이템 아이콘 표시,Pokazuje ikony przedmiotów w wierszach QuickLoot,Mostra ícones de itens nas linhas do QuickLoot,Показывает значки предметов в строках QuickLoot,QuickLoot satırlarında eşya ikonlarını göster,在 QuickLoot 行中显示物品图标,在 QuickLoot 列中顯示物品圖示
qlSettingShowFooter,UI,Menu,,,Show Footer,Fußzeile anzeigen,Mostrar pie,Afficher le pied,Mostra piè di pagina,フッター表示,푸터 표시,Pokaż stopkę,Mostrar rodapé,Показывать нижнюю подсказку,Alt Bilgiyi Göster,显示页脚,顯示頁腳
qlSettingShowFooterTooltip,UI,Menu,,,Show the small hint footer on the panel,Kleine Hinweis-Fußzeile im Panel anzeigen,Muestra la pequeña línea de ayuda del panel,Affiche la petite ligne d’aide du panneau,Mostra il piccolo suggerimento in basso nel pannello,パネル下部の小さなヒントを表示,패널 하단의 작은 힌트 표시,Pokazuje małą stopkę z podpowiedzią na panelu,Mostra a pequena dica no rodapé do painel,Показывает небольшую подсказку внизу панели,Paneldeki küçük ipucu alt bilgisini göster,显示面板底部的小提示,顯示面板底部的小提示
qlSettingUiStylePreset,UI,Menu,,,Theme,Design,Tema,Thème,Tema,テーマ,테마,Motyw,Tema,Тема,Tema,主题,主題
qlSettingUiStylePresetTooltip,UI,Menu,,,Choose QuickLoot colors or let QuickLoot match detected UI mods,QuickLoot-Farben wählen oder an erkannte UI-Mods anpassen,Elige colores de QuickLoot o deja que coincida con mods de interfaz detectados,Choisit les couleurs QuickLoot ou les adapte aux mods d’interface détectés,Scegli i colori QuickLoot o adattali ai mod UI rilevati,QuickLootの色を選ぶか検出されたUI Modに合わせます,QuickLoot 색상을 선택하거나 감지된 UI 모드에 맞춤,Wybiera kolory QuickLoot albo dopasowuje je do wykrytych modów UI,Escolha as cores do QuickLoot ou combine com mods de UI detectados,Выберите цвета QuickLoot или подстройте под найденные UI-моды,QuickLoot renklerini seç veya algılanan arayüz modlarına uydur,选择 QuickLoot 颜色或匹配检测到的界面模组,選擇 QuickLoot 顏色或配合偵測到的介面模組
qlSettingTakeSelected,UI,Menu,,,Take Selected,Ausgewähltes nehmen,Tomar seleccionado,Prendre la sélection,Prendi selezionato,選択を取得,선택 항목 획득,Weź zaznaczone,Pegar selecionado,Взять выбранное,Seçileni Al,拿取所选,拿取所選
qlSettingTakeSelectedTooltip,UI,Menu,,,Binding used to take the selected item,Tastenbelegung zum Nehmen des ausgewählten Gegenstands,Tecla usada para tomar el objeto seleccionado,Touche utilisée pour prendre l’objet sélectionné,Tasto usato per prendere l’oggetto selezionato,選択したアイテムを取るための割り当て,선택한 아이템을 가져가는 키,Klawisz używany do zabrania wybranego przedmiotu,Tecla usada para pegar o item selecionado,Клавиша для взятия выбранного предмета,Seçili eşyayı almak için tuş ataması,用于拿取所选物品的按键,用於拿取所選物品的按鍵
qlSettingTakeAll,UI,Menu,,,Take All,Alles nehmen,Tomar todo,Tout prendre,Prendi tutto,すべて取得,모두 획득,Weź wszystko,Pegar tudo,Взять всё,Hepsini Al,全部拿取,全部拿取
qlSettingTakeAllTooltip,UI,Menu,,,Binding used to take all items,Tastenbelegung zum Nehmen aller Gegenstände,Tecla usada para tomar todos los objetos,Touche utilisée pour tout prendre,Tasto usato per prendere tutti gli oggetti,すべてのアイテムを取るための割り当て,모든 아이템을 가져가는 키,Klawisz używany do zabrania wszystkich przedmiotów,Tecla usada para pegar todos os itens,Клавиша для взятия всех предметов,Tüm eşyaları almak için tuş ataması,用于拿取所有物品的按键,用於拿取所有物品的按鍵
qlSettingSelectPrevious,UI,Menu,,,Select Previous,Vorheriges auswählen,Seleccionar anterior,Sélection précédente,Seleziona precedente,前を選択,이전 선택,Wybierz poprzednie,Selecionar anterior,Выбрать предыдущее,Öncekini Seç,选择上一个,選擇上一個
qlSettingSelectPreviousTooltip,UI,Menu,,,Binding used to move selection up,Tastenbelegung zum Bewegen der Auswahl nach oben,Tecla usada para mover la selección hacia arriba,Touche utilisée pour déplacer la sélection vers le haut,Tasto usato per spostare la selezione in alto,選択を上に移動するための割り当て,선택을 위로 이동하는 키,Klawisz przesuwający zaznaczenie w górę,Tecla usada para mover a seleção para cima,Клавиша для перемещения выбора вверх,Seçimi yukarı taşımak için tuş ataması,用于向上移动选择的按键,用於向上移動選擇的按鍵
qlSettingSelectNext,UI,Menu,,,Select Next,Nächstes auswählen,Seleccionar siguiente,Sélection suivante,Seleziona successivo,次を選択,다음 선택,Wybierz następne,Selecionar próximo,Выбрать следующее,Sonrakini Seç,选择下一个,選擇下一個
qlSettingSelectNextTooltip,UI,Menu,,,Binding used to move selection down,Tastenbelegung zum Bewegen der Auswahl nach unten,Tecla usada para mover la selección hacia abajo,Touche utilisée pour déplacer la sélection vers le bas,Tasto usato per spostare la selezione in basso,選択を下に移動するための割り当て,선택을 아래로 이동하는 키,Klawisz przesuwający zaznaczenie w dół,Tecla usada para mover a seleção para baixo,Клавиша для перемещения выбора вниз,Seçimi aşağı taşımak için tuş ataması,用于向下移动选择的按键,用於向下移動選擇的按鍵
qlSettingJumpTop,UI,Menu,,,Jump Top,Nach oben springen,Ir arriba,Aller en haut,Vai in alto,先頭へ移動,맨 위로 이동,Skocz na górę,Ir ao topo,К началу,Başa Git,跳到顶部,跳到頂部
qlSettingJumpTopTooltip,UI,Menu,,,Binding used to jump to the first row,Tastenbelegung zum Springen zur ersten Zeile,Tecla usada para saltar a la primera fila,Touche utilisée pour aller à la première ligne,Tasto usato per saltare alla prima riga,最初の行へ移動する割り当て,첫 행으로 이동하는 키,Klawisz skoku do pierwszego wiersza,Tecla usada para ir à primeira linha,Клавиша для перехода к первой строке,İlk satıra gitmek için tuş ataması,用于跳到第一行的按键,用於跳到第一列的按鍵
qlSettingJumpBottom,UI,Menu,,,Jump Bottom,Nach unten springen,Ir abajo,Aller en bas,Vai in basso,最後へ移動,맨 아래로 이동,Skocz na dół,Ir ao fim,К концу,Sona Git,跳到底部,跳到底部
qlSettingJumpBottomTooltip,UI,Menu,,,Binding used to jump to the last row,Tastenbelegung zum Springen zur letzten Zeile,Tecla usada para saltar a la última fila,Touche utilisée pour aller à la dernière ligne,Tasto usato per saltare all’ultima riga,最後の行へ移動する割り当て,마지막 행으로 이동하는 키,Klawisz skoku do ostatniego wiersza,Tecla usada para ir à última linha,Клавиша для перехода к последней строке,Son satıra gitmek için tuş ataması,用于跳到最后一行的按键,用於跳到最後一列的按鍵
qlSettingAllowPlayerOwnedStorage,UI,Menu,,,Player-Owned Storage,Spielerlager,Almacenamiento de jugador,Stockage de joueur,Deposito del giocatore,プレイヤー所有ストレージ,플레이어 보관함,Magazyn gracza,Armazenamento do jogador,Хранилище игрока,Oyuncu Depoları,玩家储物,玩家儲物
qlSettingAllowPlayerOwnedStorageTooltip,UI,Menu,,,Allow QuickLoot on player-owned storage. On by default,QuickLoot für Spielerlager erlauben. Standardmäßig an,Permite QuickLoot en almacenamiento de jugador. Activado por defecto,Autorise QuickLoot sur le stockage de joueur. Activé par défaut,Consenti QuickLoot nei depositi del giocatore. Attivo per impostazione predefinita,プレイヤー所有ストレージでQuickLootを許可。初期設定はオン,플레이어 보관함에서 QuickLoot 허용. 기본값 켜짐,Pozwala używać QuickLoot w magazynach gracza. Domyślnie włączone,Permite QuickLoot em armazenamento do jogador. Ativado por padrão,Разрешает QuickLoot в хранилищах игрока. По умолчанию включено,Oyuncu depolarında QuickLoot kullan. Varsayılan açık,允许在玩家储物中使用 QuickLoot。默认开启,允許在玩家儲物中使用 QuickLoot。預設開啟
qlSettingAllowOwnLandClaimStorage,UI,Menu,,,Own Claimed Storage,Eigenes Claim-Lager,Almacén en tu reclamación,Stockage dans votre revendication,Deposito nel tuo claim,自分の土地保護内ストレージ,내 클레임 보관함,Magazyn na własnym obszarze roszczenia,Armazenamento em sua reivindicação,Хранилище в своём клейме,Kendi Claim Depoların,自己领地内储物,自己領地內儲物
qlSettingAllowOwnLandClaimStorageTooltip,UI,Menu,,,Allow QuickLoot inside your own land claim,QuickLoot im eigenen Landclaim erlauben,Permite QuickLoot dentro de tu propia reclamación,Autorise QuickLoot dans votre propre revendication territoriale,Consenti QuickLoot nel tuo land claim,自分の土地保護内でQuickLootを許可,내 토지 클레임 안에서 QuickLoot 허용,Pozwala używać QuickLoot na własnym claimie,Permite QuickLoot dentro da sua própria reivindicação de terra,Разрешает QuickLoot в своём земельном клейме,Kendi claim alanında QuickLoot kullan,允许在自己的领地内使用 QuickLoot,允許在自己的領地內使用 QuickLoot
qlSettingAllowAllyLandClaimStorage,UI,Menu,,,Ally Claimed Storage,Verbündeten-Claim-Lager,Almacén en reclamación aliada,Stockage en revendication alliée,Deposito in claim alleato,味方の土地保護内ストレージ,동맹 클레임 보관함,Magazyn na claimie sojusznika,Armazenamento em reivindicação aliada,Хранилище в клейме союзника,Müttefik Claim Depoları,盟友领地内储物,盟友領地內儲物
qlSettingAllowAllyLandClaimStorageTooltip,UI,Menu,,,Allow QuickLoot inside allied land claims,QuickLoot in Landclaims von Verbündeten erlauben,Permite QuickLoot dentro de reclamaciones aliadas,Autorise QuickLoot dans les revendications alliées,Consenti QuickLoot nei claim degli alleati,味方の土地保護内でQuickLootを許可,동맹 토지 클레임 안에서 QuickLoot 허용,Pozwala używać QuickLoot na claimach sojuszników,Permite QuickLoot em reivindicações de aliados,Разрешает QuickLoot в земельных клеймах союзников,Müttefik claim alanlarında QuickLoot kullan,允许在盟友领地内使用 QuickLoot,允許在盟友領地內使用 QuickLoot
qlSettingAllowOtherLandClaimStorage,UI,Menu,,,Other Claimed Storage,Fremdes Claim-Lager,Almacén en otra reclamación,Stockage en autre revendication,Deposito in altri claim,他人の土地保護内ストレージ,다른 클레임 보관함,Magazyn na cudzym claimie,Armazenamento em outra reivindicação,Хранилище в чужом клейме,Başka Claim Depoları,其他领地内储物,其他領地內儲物
qlSettingAllowOtherLandClaimStorageTooltip,UI,Menu,,,Allow QuickLoot inside other land claims,QuickLoot in fremden Landclaims erlauben,Permite QuickLoot dentro de otras reclamaciones,Autorise QuickLoot dans d’autres revendications,Consenti QuickLoot negli altri claim,他人の土地保護内でQuickLootを許可,다른 토지 클레임 안에서 QuickLoot 허용,Pozwala używać QuickLoot na cudzych claimach,Permite QuickLoot em outras reivindicações de terra,Разрешает QuickLoot в чужих земельных клеймах,Başka claim alanlarında QuickLoot kullan,允许在其他领地内使用 QuickLoot,允許在其他領地內使用 QuickLoot
qlSettingAllowMultiUserQuickLoot,UI,Menu,,,Multi-User QuickLoot,Mehrbenutzer-QuickLoot,QuickLoot multiusuario,QuickLoot multi-utilisateur,QuickLoot multiutente,複数ユーザーQuickLoot,다중 사용자 QuickLoot,QuickLoot dla wielu użytkowników,QuickLoot multiusuário,Многопользовательский QuickLoot,Çoklu Kullanıcı QuickLoot,多人 QuickLoot,多人 QuickLoot
qlSettingAllowMultiUserQuickLootTooltip,UI,Menu,,,Allow several players to QuickLoot the same safe world target,"Erlaubt mehreren Spielern, dasselbe sichere Weltziel mit QuickLoot zu nutzen",Permite que varios jugadores usen QuickLoot en el mismo objetivo seguro,Autorise plusieurs joueurs à utiliser QuickLoot sur la même cible sûre,Consenti a più giocatori di usare QuickLoot sullo stesso bersaglio sicuro,複数のプレイヤーが同じ安全なワールド対象をQuickLootできます,여러 플레이어가 같은 안전한 월드 대상에 QuickLoot 사용 가능,Pozwala kilku graczom używać QuickLoot na tym samym bezpiecznym celu,Permite vários jogadores usarem QuickLoot no mesmo alvo seguro,Позволяет нескольким игрокам использовать QuickLoot на одном безопасном объекте,Birden fazla oyuncunun aynı güvenli dünya hedefini QuickLoot ile kullanmasına izin ver,允许多名玩家对同一安全世界目标使用 QuickLoot,允許多名玩家對同一安全世界目標使用 QuickLoot
qlSettingStorageSyncCompatibility,UI,Menu,,,StorageSync Compatibility,StorageSync-Kompatibilität,Compatibilidad con StorageSync,Compatibilité StorageSync,Compatibilità StorageSync,StorageSync互換性,StorageSync 호환성,Zgodność ze StorageSync,Compatibilidade com StorageSync,Совместимость со StorageSync,StorageSync Uyumluluğu,StorageSync 兼容性,StorageSync 相容性
qlSettingStorageSyncCompatibilityTooltip,UI,Menu,,,How QuickLoot should behave when StorageSync is installed,"Wie sich QuickLoot verhalten soll, wenn StorageSync installiert ist",Cómo debe comportarse QuickLoot cuando StorageSync está instalado,Comportement de QuickLoot lorsque StorageSync est installé,Come deve comportarsi QuickLoot quando StorageSync è installato,StorageSync導入時のQuickLootの動作,StorageSync 설치 시 QuickLoot 동작 방식,"Jak QuickLoot ma działać, gdy StorageSync jest zainstalowany",Como QuickLoot deve se comportar quando StorageSync está instalado,Как QuickLoot должен работать при установленном StorageSync,StorageSync yüklüyken QuickLoot davranışı,安装 StorageSync 时 QuickLoot 的行为,安裝 StorageSync 時 QuickLoot 的行為
qlSettingPlayerDeathBackpackMode,UI,Menu,,,Death Backpacks,Todesrucksäcke,Mochilas de muerte,Sacs à dos de mort,Zaini della morte,死亡バックパック,사망 배낭,Plecaki po śmierci,Mochilas de morte,Рюкзаки смерти,Ölüm Çantaları,死亡背包,死亡背包
qlSettingPlayerDeathBackpackModeTooltip,UI,Menu,,,How QuickLoot should handle player death backpacks,Wie QuickLoot mit Todesrucksäcken von Spielern umgehen soll,Cómo debe manejar QuickLoot las mochilas de muerte de jugadores,Comment QuickLoot gère les sacs à dos de mort des joueurs,Come QuickLoot deve gestire gli zaini della morte dei giocatori,プレイヤー死亡バックパックのQuickLoot処理方法,플레이어 사망 배낭을 QuickLoot이 처리하는 방식,Jak QuickLoot ma obsługiwać plecaki po śmierci gracza,Como QuickLoot deve lidar com mochilas de morte de jogadores,Как QuickLoot должен обрабатывать рюкзаки смерти игроков,Oyuncu ölüm çantalarında QuickLoot davranışı,QuickLoot 如何处理玩家死亡背包,QuickLoot 如何處理玩家死亡背包
qlSettingStorageSyncDetectedStatus,UI,Menu,,,StorageSync Mod,StorageSync-Mod,Mod StorageSync,Mod StorageSync,Mod StorageSync,StorageSync Mod,StorageSync 모드,Mod StorageSync,Mod StorageSync,Мод StorageSync,StorageSync Modu,StorageSync 模组,StorageSync 模組
qlSettingStorageSyncDetectedStatusTooltip,UI,Menu,,,Shows whether StorageSync is loaded in the current game,"Zeigt, ob StorageSync im aktuellen Spiel geladen ist",Muestra si StorageSync está cargado en la partida actual,Indique si StorageSync est chargé dans la partie actuelle,Mostra se StorageSync è caricato nella partita corrente,現在のゲームでStorageSyncが読み込まれているかを表示,현재 게임에 StorageSync가 로드되었는지 표시,"Pokazuje, czy StorageSync jest załadowany w bieżącej grze",Mostra se StorageSync está carregado no jogo atual,"Показывает, загружен ли StorageSync в текущей игре",StorageSync'in mevcut oyunda yüklü olup olmadığını gösterir,显示当前游戏是否加载 StorageSync,顯示目前遊戲是否載入 StorageSync
qlSettingQuickLootMultiUserStatus,UI,Menu,,,Multi-User QuickLoot,Mehrbenutzer-QuickLoot,QuickLoot multiusuario,QuickLoot multi-utilisateur,QuickLoot multiutente,複数ユーザーQuickLoot,다중 사용자 QuickLoot,QuickLoot dla wielu użytkowników,QuickLoot multiusuário,Многопользовательский QuickLoot,Çoklu Kullanıcı QuickLoot,多人 QuickLoot,多人 QuickLoot
qlSettingQuickLootMultiUserStatusTooltip,UI,Menu,,,Shows whether QuickLoot multi-user access is enabled,"Zeigt, ob QuickLoot-Mehrbenutzerzugriff aktiviert ist",Muestra si el acceso multiusuario de QuickLoot está activado,Indique si l’accès multi-utilisateur de QuickLoot est activé,Mostra se l’accesso multiutente QuickLoot è attivo,QuickLootの複数ユーザーアクセスが有効かを表示,QuickLoot 다중 사용자 접근이 활성화되었는지 표시,"Pokazuje, czy dostęp wieloużytkownikowy QuickLoot jest włączony",Mostra se o acesso multiusuário do QuickLoot está ativado,"Показывает, включён ли многопользовательский доступ QuickLoot",QuickLoot çoklu kullanıcı erişiminin açık olup olmadığını gösterir,显示 QuickLoot 多人访问是否启用,顯示 QuickLoot 多人存取是否啟用
