Key,Source,Context,English,German,Russian
q_TGHDesc,quests,quest,"Dear Survivor,\n\ngo out in the wilderness and hunt some big animals for me. I will give you some coins as reward.\n\nHurry up!!!","Hallo Überlebender,\n\nmach dich auf in die Wildniss und jage ein paar große Tiere für mich. Ich gebe dir einige Münzen als Belohnung.\n\nNun mach schon, beeile dich!!!","Выживший, сходи поохоться для меня на крупную дичь. В награду получишь несколько монет. Быстрей!!!"
q_HdsA,quests,quest,Hunt down small Animals,Kleintierjagd,"Охота на Мелкую Дичь"
q_HdsADesc,quests,quest,"Dear Survivor,\n\nthese little wild animals are eating away all my crops, go hunting and kill some of them. I'll reward you for it too!\n\nHurry up!!!","Hallo Überlebender,\n\ndiese kleinen Wildtiere fressen meine ganze Ernte weg, mache dich auf die Jagd und erledige einige von ihnen. Ich werde dich dafür auch entlohnen!\n\nNun mach schon, beeile dich!!!","Выживший, убей для меня несколько мелких тварей и я дам тебе пару монет. Поторопись!!!"
q_Grace,quests,quest,Mission: Grace,Auftrag: Grace,"Миссия: Грэйс"
q_GraceDesc,quests,quest,"Dear Survivor,\n\nI've heard there's a giant mutant boar out there somewhere, I'd love to have it as a trophy. Go out and kill it!\n\nReward: 5000 Coins and 1 Skillpoint","Hallo Überlebender,\n\nich habe gehört, es gibt ein riesiges mutiertes Wildschwein irgendwo da draußen, ich hätte es gern als Trophäe. Geh los und erlege es!\n\nBelohnung: 5000 Coins and 1 Skillpunkt","Выживший, если убьёш для меня гигантского кабана-мутанта получишь в награду! \n\nНаграда: 5000 дюков, 1 очко навыков."
q_DireWolf,quests,quest,Mission: Dire Wolf,Auftrag: Schreckenswolf,"Миссия: Ужасный Волк"
q_DireWolfDesc,quests,quest,"Dear Survivor,\n\nthere is a pack of dire wolves roaming the wilderness. Don't let them get too close to us! Kill two of them to show the others that they have no business here!\n\nReward: 6000 Coins and 1 Skillpoint","Hallo Überlebender,\n\nes treibt sich in der Wildniss ein Rudel Schreckenswölfe herum. So sollen uns nicht zu nahe kommen! Erledige 2 von Ihnen, um den anderen zu zeigen, dass sie hier nichts verloren haben!\n\nBelohnung: 6000 Coins and 1 Skillpunkt","Выживший, в дикой местности развелось много Ужасных Волков, убей двоих и получишь награду! \n\nНаграда: 6000 дюков, 1 очков навыков."
q_GreenThumb,quests,quest,Green Thumb,Grüner Daumen,"Зелёный Палец"
q_GreenThumbDesc,quests,quest,"Dear Survivor,\n\ncan you plant some seeds for me? It's necessary in the apocalypse to have your own garden for surviving!\n\nPlant some Potato, Corn, Pumpkin and Mushrooms and you will rewared with some Food.","Hallo Überlebender,\n\nkannst du ein paar Samen für mich pflanzen? In der Apokalypse ist es notwendig einen eigenen Garten zu haben, um zu überleben!\n\nPflanze Kartoffeln, Mais, Kürbis und Pilze und du wirst mit etwas Essen belohnt.","Выживший, чтобы выжить во время апокалипсиса нужно иметь свой огород! Посади немного картофеля, кукурузы, тыквы и грибов чтобы добыть немного еды."
q_BuildingMats,quests,quest,Building Materials,Baumaterialien,"Строительные Материалы"
q_BuildingMatsDesc,quests,quest,"Dear Survivor,\n\nfor living in the apocalypse, you need premium building materials. Bring me some basic resources and i give you some premium building material.\n\nCollect some Stone, Sand and Cement and i give you some Concrete Mix.","Hallo Überlebender,\n\num in der Apokalypse zu leben, brauchst du hochwertiges Baumaterial. Bring mir ein paar einfache Ressourcen und ich gebe dir etwas hochwertiges Baumaterial.\n\nSammle etwas Stein, Sand und Zement, dann gebe ich dir etwas Betonmischung.","Выживший, чтобы построить крепкую базу нужны качественные материалы. СОберие для меня камень, песок и цемент и я научу тебя делать бетонную смесь."
q_SkillPointBook,quests,quest,Get 1 Skill Point,Erhalte 1 Skillpunkt,"Получите 1 Очко Навыков"
q_SkillPointBookDesc,quests,quest,Fetch 1 Schematic Part and get 1 Skillpoint,Sammle 1 Bauplan-Teil und erhalte 1 Skillpunkt,"Добудьте 1 Часть Схем  и получите 1 Очко Навыков."

lblCategoryQuest,UI,Tooltip,Quests,Quests,"Квесты"
lblCategoryPerkbooks,UI,Tooltip,Perk/Crafting-Books,Fertigungs/Eigenschafts-Bücher,"Навыки/Книги для Крафта"
lblCategorySchematics,UI,Tooltip,Schematics,Baupläne,"Схемы"
lblCategoryResources,UI,Tooltip,Resources,Rohstoffe,"Ресурсы"
lblCategorySpecial,UI,Tooltip,Unique,Unique"Уникальные"

xuiSuBaS,Challenges,Challenge,Schematic Workbench,Bauplan-Werkbank,"Верстак для Схем"
challengeSuBaS1,Challenges,Challenge Group,Your own Schematic Workbench,Deine eigene Bauplan-Werkbank,"Верстак для создания схем и книг навыков."

challengeRewardBonusSuBas,Challenges,Challenge Group Reward,20.000 XP & 300 Schematic Parts,20.000 XP & 300 Bauplan-Teile,"20.000 Опыта & 300 Частей Схем"
CRewardGRSW,Challenges,Challenge Reward,2500 XP & 100 Duke's Casino Token,2500 XP & 100 Jeton aus Dukes Kasino,"2500 Опыта & 100 Дюков"
CRewardCraftSW,Challenges,Challenge Reward,3000 XP & 100 Duke's Casino Token,3000 XP & 100 Jeton aus Dukes Kasino,"3000 Опыта & 100 Дюков"
CRewardplaceSW,Challenges,Challenge Reward,3500 XP & 10 Schematic Parts,3500 XP & 10 Bauplan-Teile,"3500 Опыта & 10 Частей Схем"
CRewardscrapSW,Challenges,Challenge Reward,3500 XP & Crafting Skill Magazine Bundle,3500 XP & Fertigungs-Fertigkeit Zeitschriftenpaket,"3500 Опыта & Набор журналов навыков создания"
CRewardCraftspGT,Challenges,Challenge Reward,4000 XP & 2x Crafting Skill Magazine Bundle,4000 XP & 2x Fertigungs-Fertigkeit Zeitschriftenpaket,"4000 Опыта & 2х Набора журналов навыков создания"

challengeGatherResSW,Challenges,Challenge,Gather Resources,Rohstoffe sammeln,"Соберите ресурсы"
challengeGatherResSWShort,Challenges,Challenge,Collect raw materials.,Sammle Rohstoffe.,"Добудьте полезные ресурсы."
challengeGatherResSWDesc,Challenges,Challenge,"Collect raw materials for production as usual. Wood, iron, plastic waste, and duct tape are required to craft the Schematic Workbench.","Sammle wie gewohnt Rohstoffe für die Herstellung. Es wird Holz, Eisen, Kunststoffabfall und Klebeband benötigt um die Bauplan-Werkbank zu fertigen.","Соберите простые производственные ресурсы. для создания верстака для схем потребуются: дерево, железо, пластик и клейкая лента."

challengeCraftSW,Challenges,Challenge,Craft your Schematic Workbench,Stelle deine Bauplan-Werkbank her,"Создайте Верстак для Схем"
challengeCraftSWShort,Challenges,Challenge,"Craft your new Schematic Workbench.","Stelle deine neue Bauplan-Werkbank her.","Создайте свой новый рабочий стол для создания схем."
challengeCraftSWDesc,Challenges,Challenge,"Now that you have gathered the necessary materials, all you have to do is craft your new Schematic Workbench. It can be done in your Inventory, found in the Science category.","Da du jetzt die benötigten Materialien gesammelt hast, musst du nur noch deine neue Bauplan-Werkbank herstellen. Dies kann in deinem Inventar erledigt werden, zu finden in der Kategorie Wissenschaft.","Собрав необходимые материалы вы наконец можете создать верстак для схем. Это можно сделать в инвентаре в категории - Наука."

challengeplaceSW,Challenges,Challenge,Place your Schematic Workbench,Platziere deine Bauplan-Werkbank,"Разместите Верстак для Схем"
challengeplaceSWShort,Challenges,Challenge,Place your Schematic Workbench.,Platziere deine Bauplan-Werkbank,"Разместите Верстак для Схем"
challengeplaceSWDesc,Challenges,Challenge,Take your new Schematic Workbench in your hand and place it wherever you like.,"Nimm deine neue Bauplan-Werkbank in deine Hand und platziere sie, wo auch immer du magst.","Возьмите в руки свой новый Верстак для Схем и разместите там где вам нравиться."

challengeScrapSuBaS,Challenges,Challenge,Scrap some Schematics or Books,Zerlege ein paar Baupläne oder Bücher,"Разберите Схемы или Книги"
challengeScrapSuBaSShort,Challenges,Challenge,"To obtain schematic parts, simply dismantle a few books or schematics.","Um Bauplan-Teile zu erhalten, zerlege einfach ein paar Bücher oder Baupläne.","чтобы получить Части Схем просто рзаберите ненужные схемы или книги."
challengeScrapSuBaSDesc,Challenges,Challenge,"To obtain schematic parts, simply dismantle a few books or schematics. The best items to scrap are books you have already read or Schematics that you would otherwise sell.","Um Bauplan-Teile zu erhalten, zerlege einfach ein paar Bücher oder Baupläne. Am besten eignen sich bereits gelesene Bücher oder Baupläne, die du sonst verkaufen würdest.","Чтобы получить Части Схем просто разберите ненужные вам или уже изученные схемы или книги."

challengeCraftspGT,Challenges,Challenge,Craft your first own Questbook,Fertige dein erstes eigenes Questbuch an.,"Создайте свою первую Книгу Заданий"
challengeCraftspGTShort,Challenges,Challenge,"Craft your first Questbook.","Stelle dein erstes Questbuch her.","Создайте свою первую Книгу Заданий."
challengeCraftspGTDesc,Challenges,Challenge,"With enough Schematic-Parts, paper, glue, and some leather, you can now craft your first quest book at your Schematic Workbench. Select the Quests tab in the Schematic Workbench, find the appropriate quest to craft, and craft it.","Mit genügend Bauplan-Teilen, Papier, Kleber und etwas Leder, kannst du nun dein erstes eigens Questbuch an deiner Bauplan-Werkbank herstellen. Wähle den Reiter Quests in der Bauplan-Werkbank und suche die entsprechende Quest zum herstellen heraus und fertige sie an.","Собрав достаточное количество Частей Схем вы можете создать свою первую Книгу Заданий на Верстак для Схем. Выберите вкладку 'Задания' и создайте интересующую вас Книгу Заданий." 

groupCompleteChallengeSuBaS1,Challenges,Challenge,Your own Schematic Workbench - Complete,Deine eigene Bauplan-Werkbank - Komplett,"Комплект с Верстаком для Схем"
groupCompleteChallengeSuBaS1Short,Challenges,Challenge,Collect all individual rewards to complete the series.,Sammle alle einzelnen Belohnungen ein um die Reihe abzuschließen.,"Соберите все награды чтобы завершить серию заданий."
groupCompleteChallengeSuBaS1Desc,Challenges,Challenge,"Your Schematic workbench is ready and waiting for you to use it. Whether it's for a few extra quests or simply to craft the blueprints you're missing, use it however you like.","Deine Bauplan-Werkbank ist bereit und wartet darauf von dir genutzt zu werden. Sei es für ein paar zusätzliche Quests oder einfach um dir die fehlenden Baupläne herzustellen, nutze sie ganz nach belieben.","Ваш верстак для схем готов и ждёт когда вы им воспользуетесь."

TeleScroll,items,Item,[ffb90f]Teleport Scroll Bedroll[-],[ffb90f]Teleport Rolle Schlafsack[-],"[ffb90f]Свиток телепортации к спальнику[-]"
TeleScrollDesc,items,Item,"Use the scroll to teleport back to your Bedroll","Benutze die Rolle, um dich zu deinem Schlafsack zu teleportieren.","Используй этот свиток, чтобы телепортироваться к своему спальному мешку."

TeleScrollLC,items,Item,[A020F0]Teleport Scroll Landclaim[-],[A020F0]Teleport Rolle Landclaim[-],"[A020F0]Свиток Телепортации к блоку Притязания[-]"
TeleScrollLCDesc,items,Item,"Use the scroll to teleport back to your Landclaim","Benutze die Rolle, um dich zu deinem Gebietsschutzblock zu teleportieren.","Используй этот свиток, чтобы телепортироваться к своему блоку притязания."

modMasterBookScrapper,item_modifiers,item_modifier,[228b22]Bookscrapping Master Certificate[-],[228b22]Buchscrapper Meister-Zertifikat[-],"[228b22]Сертификат Мастера Разбора Книг[-]"
modMasterBookScrapperDesc,item_modifiers,item_modifier,"You've taken apart so many blueprints and books that you're now a master at it. Here, this is your beautiful certificate for it. Always carry it with you (preferably in your pants pocket) and you'll benefit from it.","Du hast so viele Baupläne und Bücher zerlegt, dass du inzwischen ein Meister darin bist. Hier, dies ist dein wunderschönes Zertifikat dafür, trage es immer bei dir (am besten in deiner Hosentasche) und du wirst davon profitieren.","Вы разобрали огромное количество схем и книг, став мастером в этом деле. За это достижение мы даже вручаем вам сертификат. Всегда носите его с собой, он вам 'определённо' пригодится."
