Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
modArmorPackwiselyAmmoPouchT3,item_modifiers,Mod,,x,Tactical Bandolier,,Taktischer Patronengurt,Bandolera táctica,Bandoulière tactique,Bandoliera tattica,タクティカル・バンダリア,전술 탄띠,Taktyczny bandolier,Bandoleira tática,Тактический бандольер,Taktik Fişeklik,战术弹带,戰術彈帶
modArmorPackwiselyAmmoPouchT3Desc,item_modifiers,Mod,,x,A large ammo management rig for serious firefights.,,Großes Munitionssystem für ernste Feuergefechte.,Equipo grande de gestión de munición para tiroteos serios.,Grand harnais de gestion des munitions pour les vrais échanges de feu.,Sistema capiente per gestire le munizioni negli scontri più pesanti.,本格的な銃撃戦向けの大型弾薬管理リグ。,치열한 총격전에 대비한 대형 탄약 관리 장비입니다.,Duży system amunicyjny na poważne strzelaniny.,Sistema grande de gerenciamento de munição para tiroteios pesados.,Крупная система переноски боеприпасов для серьёзных перестрелок.,Ciddi çatışmalar için geniş kapasiteli bir cephane taşıma düzeni.,适合激烈交火的大容量弹药管理挂具。,適合激烈交火的大容量彈藥管理掛具。
modArmorPackwiselyAmmoPouchT4,item_modifiers,Mod,,x,Heavy Ammo Rig,,Schweres Munitionsgeschirr,Equipo pesado de munición,Harnais de munitions lourd,Imbrago munizioni pesante,重装弾薬リグ,중장비 탄약 리그,Ciężka kamizelka amunicyjna,Colete pesado de munição,Тяжёлая разгрузка для боеприпасов,Ağır Cephane Teçhizatı,重型弹药挂具,重型彈藥掛具
modArmorPackwiselyAmmoPouchT4Desc,item_modifiers,Mod,,x,A late-game ammo rig with the largest dedicated ammo capacity.,,Endgame-Munitionsgeschirr mit der größten eigenen Munitionskapazität.,Equipo de munición de final de partida con la mayor capacidad dedicada.,Harnais de fin de partie offrant la plus grande capacité dédiée aux munitions.,Imbrago da fine partita con la massima capacità dedicata alle munizioni.,最大の専用弾薬容量を持つ終盤向け弾薬リグ。,가장 큰 전용 탄약 용량을 제공하는 후반용 탄약 리그입니다.,Późnogrowa kamizelka z największą osobną pojemnością na amunicję.,Colete de munição de fim de jogo com a maior capacidade dedicada.,Позднеигровая разгрузка с максимальной отдельной вместимостью для боеприпасов.,En yüksek özel cephane kapasitesine sahip geç oyun teçhizatı.,后期弹药挂具，拥有最大的专用弹药容量。,後期彈藥掛具，擁有最大的專用彈藥容量。

# ==================================================================================================
# MEDICAL POUCH ITEM MODIFIERS
# Armor mod names and descriptions for the medical pouch tier line.
# These are visible on the pouch mod items and their item tooltips.
# ==================================================================================================
modArmorPackwiselyMedicalPouchT1,item_modifiers,Mod,,x,First Aid Roll,,Erste-Hilfe-Rolle,Rollo de primeros auxilios,Rouleau de premiers secours,Rotolo di primo soccorso,救急ロール,응급 처치 롤,Rolka pierwszej pomocy,Rolo de primeiros socorros,Рулон первой помощи,İlk Yardım Rulosu,急救卷包,急救捲包
modArmorPackwiselyMedicalPouchT1Desc,item_modifiers,Mod,,x,A compact chest armor pouch that unlocks a small dedicated medical container.,,"Kompaktes Brustpanzer-Fach, das einen kleinen eigenen Sanitätsbehälter freischaltet.",Compartimento compacto para armadura de pecho que desbloquea un pequeño contenedor médico dedicado.,Poche compacte pour armure de torse qui débloque un petit conteneur médical dédié.,Tasca compatta per armatura toracica che sblocca un piccolo contenitore medico dedicato.,胴体防具に取り付ける小型の救急ロール。専用の小さな医療コンテナを開ける。,흉갑에 장착하는 소형 응급 처치 롤입니다. 작은 전용 의료 보관함을 엽니다.,"Kompaktowy zasobnik do pancerza na tors, odblokowujący mały osobny pojemnik medyczny.",Compartimento compacto para armadura peitoral que libera um pequeno recipiente médico exclusivo.,"Компактное отделение для нагрудной брони, открывающее небольшой отдельный медицинский контейнер.",Göğüs zırhına takılan küçük bir ilk yardım rulosu. Küçük bir özel tıbbi bölme açar.,装在胸甲上的小型急救卷包，可开启一个小型专用医疗容器。,裝在胸甲上的小型急救捲包，可開啟一個小型專用醫療容器。
modArmorPackwiselyMedicalPouchT2,item_modifiers,Mod,,x,Medical Pouch,,Sanitätstasche,Bolsa médica,Trousse médicale,Borsa medica,医療ポーチ,의료 파우치,Torba medyczna,Bolsa médica,Медицинская сумка,Sıhhiye Çantası,医疗包,醫療包
modArmorPackwiselyMedicalPouchT2Desc,item_modifiers,Mod,,x,A dedicated medical pouch for first aid and cure items.,,Eigene Sanitätstasche für Erste Hilfe und Heilmittel.,Bolsa médica dedicada para primeros auxilios y curas.,Trousse dédiée aux premiers secours et aux remèdes.,Borsa medica dedicata a pronto soccorso e cure.,応急処置や治療アイテム用の専用医療ポーチ。,응급 처치와 치료 아이템을 위한 전용 의료 파우치입니다.,Osobna torba medyczna na pierwszą pomoc i środki lecznicze.,Bolsa médica dedicada para primeiros socorros e curas.,Отдельная медицинская сумка для первой помощи и лечебных предметов.,İlk yardım ve tedavi eşyaları için özel sıhhiye çantası.,用于急救和治疗物品的专用医疗包。,用於急救和治療物品的專用醫療包。
modArmorPackwiselyMedicalPouchT3,item_modifiers,Mod,,x,Trauma Pouch,,Traumatasche,Bolsa de trauma,Trousse de trauma,Borsa trauma,外傷用ポーチ,외상 처치 파우치,Torba urazowa,Bolsa de trauma,Травматологическая сумка,Travma Çantası,创伤医疗包,創傷醫療包
modArmorPackwiselyMedicalPouchT3Desc,item_modifiers,Mod,,x,A larger pouch for emergency medicine and treatment supplies.,,Größere Tasche für Notfallmedizin und Behandlungsmaterial.,Bolsa más grande para medicinas de emergencia y suministros de tratamiento.,Trousse plus grande pour médicaments d’urgence et matériel de soin.,Borsa più grande per medicinali d’emergenza e materiali di cura.,救急薬品と治療用品を入れる大型ポーチ。,응급 의약품과 처치 물품을 넣는 더 큰 파우치입니다.,Większa torba na leki awaryjne i wyposażenie medyczne.,Bolsa maior para remédios de emergência e suprimentos de tratamento.,Большая сумка для экстренных лекарств и лечебных материалов.,Acil ilaçlar ve tedavi malzemeleri için daha büyük bir travma çantası.,更大的创伤包，用于急救药品和治疗用品。,更大的創傷包，用於急救藥品和治療用品。
modArmorPackwiselyMedicalPouchT4,item_modifiers,Mod,,x,Field Medic Pack,,Feldsanitäter-Pack,Mochila de sanitario,Sac de médecin de terrain,Zaino da medico da campo,野戦衛生兵パック,야전 의무병 팩,Plecak medyka polowego,Mochila de médico de campo,Полевая сумка медика,Sahra Sıhhiye Çantası,战地医护包,戰地醫護包
modArmorPackwiselyMedicalPouchT4Desc,item_modifiers,Mod,,x,A late-game medical pack with the largest dedicated medical capacity.,,Endgame-Sanitätspack mit der größten eigenen medizinischen Kapazität.,Mochila médica de final de partida con la mayor capacidad dedicada.,Sac médical de fin de partie offrant la plus grande capacité médicale dédiée.,Zaino medico da fine partita con la massima capacità medica dedicata.,最大の専用医療容量を持つ終盤向け衛生兵パック。,가장 큰 전용 의료 용량을 제공하는 후반용 의무병 팩입니다.,Późnogrowy pakiet medyka z największą osobną pojemnością medyczną.,Mochila médica de fim de jogo com a maior capacidade dedicada.,Позднеигровая полевая сумка медика с максимальной отдельной вместимостью.,En yüksek özel tıbbi kapasiteye sahip geç oyun sahra sıhhiye çantası.,后期战地医护包，拥有最大的专用医疗容量。,後期戰地醫護包，擁有最大的專用醫療容量。

# ==================================================================================================
# DEMOLITIONS POUCH ITEM MODIFIERS
# Armor mod names and descriptions for the explosives and throwable pouch tier line.
# These are separate from ammo so grenade launcher rounds and ammo bundles stay excluded by code.
# ==================================================================================================
modArmorPackwiselyExplosivesPouchT1,item_modifiers,Mod,,x,Explosives Pouch,,Sprengstofftasche,Bolsa de explosivos,Poche à explosifs,Tasca esplosivi,爆発物ポーチ,폭발물 파우치,Torba na materiały wybuchowe,Bolsa de explosivos,Подсумок для взрывчатки,Patlayıcı Cebi,爆炸物包,爆炸物包
modArmorPackwiselyExplosivesPouchT1Desc,item_modifiers,Mod,,x,"A compact pouch for pipe bombs, molotovs, and other throwables.",,"Eine kompakte Tasche für Rohrbomben, Molotows und andere Wurfgegenstände.","Una bolsa compacta para bombas caseras, cócteles molotov y otros arrojadizos.","Une poche compacte pour bombes artisanales, cocktails Molotov et autres objets à lancer.","Una tasca compatta per pipe bomb, molotov e altri oggetti lanciabili.",パイプ爆弾、火炎瓶、その他の投てき物を入れるコンパクトなポーチ。,"파이프 폭탄, 화염병, 기타 투척물을 넣을 수 있는 소형 파우치입니다.","Kompaktowa torba na bomby rurowe, koktajle Mołotowa i inne przedmioty miotane.","Uma bolsa compacta para bombas caseiras, molotovs e outros arremessáveis.","Компактный подсумок для трубчатых бомб, коктейлей Молотова и других метательных предметов.","Boru bombaları, molotoflar ve diğer fırlatılabilirler için küçük bir cep.",用于存放土制炸弹、燃烧瓶和其他投掷物的小型包。,用於存放土製炸彈、燃燒瓶和其他投擲物的小型包。
modArmorPackwiselyExplosivesPouchT2,item_modifiers,Mod,,x,Demolitions Pouch,,Sprengmeistertasche,Bolsa de demolición,Poche de démolition,Tasca demolizioni,解体用ポーチ,철거용 파우치,Torba saperska,Bolsa de demolição,Подсумок подрывника,Yıkım Cebi,爆破包,爆破包
modArmorPackwiselyExplosivesPouchT2Desc,item_modifiers,Mod,,x,"A dedicated pouch for grenades, charges, and explosive throwables.",,"Eine eigene Tasche für Granaten, Sprengladungen und explosive Wurfgegenstände.","Una bolsa dedicada para granadas, cargas y arrojadizos explosivos.","Une poche dédiée aux grenades, charges et explosifs à lancer.","Una tasca dedicata per granate, cariche e oggetti esplosivi lanciabili.",手榴弾、爆薬、爆発性の投てき物用の専用ポーチ。,"수류탄, 폭약, 폭발성 투척물을 위한 전용 파우치입니다.","Osobna torba na granaty, ładunki i wybuchowe przedmioty miotane.","Uma bolsa dedicada para granadas, cargas e explosivos arremessáveis.","Отдельный подсумок для гранат, зарядов и взрывных метательных предметов.","El bombaları, patlayıcı yükler ve patlayıcı fırlatılabilirler için özel bir cep.",专用于手榴弹、炸药包和爆炸投掷物的包。,專用於手榴彈、炸藥包和爆炸投擲物的包。
modArmorPackwiselyExplosivesPouchT3,item_modifiers,Mod,,x,Grenadier Pouch,,Grenadiertasche,Bolsa de granadero,Poche de grenadier,Tasca da granatiere,擲弾兵ポーチ,척탄병 파우치,Torba grenadiera,Bolsa de granadeiro,Подсумок гренадера,Bombacı Cebi,掷弹兵包,擲彈兵包
modArmorPackwiselyExplosivesPouchT3Desc,item_modifiers,Mod,,x,A reinforced pouch for carrying serious explosive throwables.,,Eine verstärkte Tasche für schwere explosive Wurfgegenstände.,Una bolsa reforzada para llevar arrojadizos explosivos potentes.,Une poche renforcée pour transporter des explosifs à lancer sérieux.,Una tasca rinforzata per trasportare potenti esplosivi lanciabili.,強力な爆発性投てき物を運ぶための強化ポーチ。,강력한 폭발성 투척물을 휴대하기 위한 강화 파우치입니다.,Wzmocniona torba do noszenia poważnych wybuchowych przedmiotów miotanych.,Uma bolsa reforçada para carregar explosivos arremessáveis pesados.,Усиленный подсумок для серьёзных взрывных метательных предметов.,Ağır patlayıcı fırlatılabilirleri taşımak için güçlendirilmiş bir cep.,用于携带强力爆炸投掷物的强化包。,用於攜帶強力爆炸投擲物的強化包。
modArmorPackwiselyExplosivesPouchT4,item_modifiers,Mod,,x,Heavy Demolitions Rig,,Schweres Sprengmeistergeschirr,Equipo pesado de demolición,Harnais de démolition lourd,Imbrago demolizioni pesante,重装解体リグ,중형 철거 리그,Ciężka uprząż saperska,Colete pesado de demolição,Тяжёлая разгрузка подрывника,Ağır Yıkım Teçhizatı,重型爆破挂具,重型爆破掛具
modArmorPackwiselyExplosivesPouchT4Desc,item_modifiers,Mod,,x,A late-game demolitions rig with the largest dedicated throwable capacity.,,Ein Sprengmeistergeschirr fürs Endgame mit der größten eigenen Wurfgegenstand-Kapazität.,Un equipo de demolición de final de partida con la mayor capacidad dedicada para arrojadizos.,Un harnais de démolition de fin de partie avec la plus grande capacité dédiée aux objets à lancer.,Un imbrago da demolizioni da fine partita con la massima capacità dedicata agli oggetti lanciabili.,専用投てき物容量が最大の終盤向け解体リグ。,가장 큰 전용 투척물 용량을 제공하는 후반용 철거 리그입니다.,Późnogrowa uprząż saperska z największą osobną pojemnością na przedmioty miotane.,Um colete de demolição de fim de jogo com a maior capacidade dedicada para arremessáveis.,Позднеигровая разгрузка подрывника с максимальной отдельной вместимостью для метательных предметов.,En yüksek özel fırlatılabilir kapasitesine sahip geç oyun yıkım teçhizatı.,后期爆破挂具，拥有最大的专用投掷物容量。,後期爆破掛具，擁有最大的專用投擲物容量。

# ==================================================================================================
# POUCH SCHEMATIC ITEMS
# Learnable schematic names and descriptions for late tier pouch crafting.
# The game uses the matching Desc keys for schematic tooltips.
# ==================================================================================================
modArmorPackwiselyAmmoPouchT3Schematic,items,Schematic,,x,Tactical Bandolier Schematic,Teaches you how to craft the Tactical Bandolier.,Schema: Taktischer Patronengurt,Esquema de bandolera táctica,Schéma de bandoulière tactique,Schema bandoliera tattica,タクティカル・バンダリア設計図,전술 탄띠 설계도,Schemat taktycznego bandoliera,Esquema da bandoleira tática,Схема тактического бандольера,Taktik Fişeklik Şeması,战术弹带图纸,戰術彈帶圖紙
modArmorPackwiselyAmmoPouchT3SchematicDesc,items,Schematic,,x,Learn to craft a late-tier ammo pouch upgrade.,Unlocks crafting for the Tactical Bandolier.,"Lerne, eine späte Munitionstaschen-Aufwertung herzustellen.",Aprende a fabricar una mejora avanzada de bolsa de munición.,Apprend à fabriquer une amélioration avancée de poche à munitions.,Impara a creare un potenziamento avanzato per tasca munizioni.,上位の弾薬ポーチ強化をクラフトできるようになる。,후반용 탄약 파우치 업그레이드 제작법을 배웁니다.,Uczy wytwarzania późniejszego ulepszenia ładownicy.,Aprenda a fabricar uma melhoria avançada de bolsa de munição.,Позволяет создавать позднее улучшение подсумка для боеприпасов.,Geç oyun cephane cebi yükseltmesi üretmeyi öğren.,学习制作后期弹药包升级件。,學習製作後期彈藥包升級件。
modArmorPackwiselyAmmoPouchT4Schematic,items,Schematic,,x,Heavy Ammo Rig Schematic,Teaches you how to craft the Heavy Ammo Rig.,Schema: Schweres Munitionsgeschirr,Esquema de equipo pesado de munición,Schéma de harnais de munitions lourd,Schema imbrago munizioni pesante,重装弾薬リグ設計図,중장비 탄약 리그 설계도,Schemat ciężkiej kamizelki amunicyjnej,Esquema do colete pesado de munição,Схема тяжёлой разгрузки для боеприпасов,Ağır Cephane Teçhizatı Şeması,重型弹药挂具图纸,重型彈藥掛具圖紙
modArmorPackwiselyAmmoPouchT4SchematicDesc,items,Schematic,,x,Learn to craft the largest ammo pouch upgrade.,Unlocks crafting for the Heavy Ammo Rig.,"Lerne, die größte Munitionstaschen-Aufwertung herzustellen.",Aprende a fabricar la mejora de bolsa de munición más grande.,Apprend à fabriquer la plus grande amélioration de poche à munitions.,Impara a creare il potenziamento più grande per tasca munizioni.,最大級の弾薬ポーチ強化をクラフトできるようになる。,가장 큰 탄약 파우치 업그레이드 제작법을 배웁니다.,Uczy wytwarzania największego ulepszenia ładownicy.,Aprenda a fabricar a maior melhoria de bolsa de munição.,Позволяет создавать самое вместительное улучшение подсумка.,En büyük cephane cebi yükseltmesini üretmeyi öğren.,学习制作最大的弹药包升级件。,學習製作最大的彈藥包升級件。
modArmorPackwiselyMedicalPouchT3Schematic,items,Schematic,,x,Trauma Pouch Schematic,Teaches you how to craft the Trauma Pouch.,Schema: Traumatasche,Esquema de bolsa de trauma,Schéma de trousse de trauma,Schema borsa trauma,外傷用ポーチ設計図,외상 처치 파우치 설계도,Schemat torby urazowej,Esquema da bolsa de trauma,Схема травматологической сумки,Travma Çantası Şeması,创伤医疗包图纸,創傷醫療包圖紙
modArmorPackwiselyMedicalPouchT3SchematicDesc,items,Schematic,,x,Learn to craft a late-tier medical pouch upgrade.,Unlocks crafting for the Trauma Pouch.,"Lerne, eine späte Sanitätstaschen-Aufwertung herzustellen.",Aprende a fabricar una mejora avanzada de bolsa médica.,Apprend à fabriquer une amélioration avancée de trousse médicale.,Impara a creare un potenziamento avanzato per borsa medica.,上位の医療ポーチ強化をクラフトできるようになる。,후반용 의료 파우치 업그레이드 제작법을 배웁니다.,Uczy wytwarzania późniejszego ulepszenia torby medycznej.,Aprenda a fabricar uma melhoria avançada de bolsa médica.,Позволяет создавать позднее улучшение медицинской сумки.,Geç oyun sıhhiye çantası yükseltmesi üretmeyi öğren.,学习制作后期医疗包升级件。,學習製作後期醫療包升級件。
modArmorPackwiselyMedicalPouchT4Schematic,items,Schematic,,x,Field Medic Pack Schematic,Teaches you how to craft the Field Medic Pack.,Schema: Feldsanitäter-Pack,Esquema de mochila de sanitario,Schéma de sac de médecin de terrain,Schema zaino da medico da campo,野戦衛生兵パック設計図,야전 의무병 팩 설계도,Schemat plecaka medyka polowego,Esquema da mochila de médico de campo,Схема полевой сумки медика,Sahra Sıhhiye Çantası Şeması,战地医护包图纸,戰地醫護包圖紙
modArmorPackwiselyMedicalPouchT4SchematicDesc,items,Schematic,,x,Learn to craft the largest medical pouch upgrade.,Unlocks crafting for the Field Medic Pack.,"Lerne, die größte Sanitätstaschen-Aufwertung herzustellen.",Aprende a fabricar la mejora de bolsa médica más grande.,Apprend à fabriquer la plus grande amélioration de trousse médicale.,Impara a creare il potenziamento più grande per borsa medica.,最大級の医療ポーチ強化をクラフトできるようになる。,가장 큰 의료 파우치 업그레이드 제작법을 배웁니다.,Uczy wytwarzania największego ulepszenia torby medycznej.,Aprenda a fabricar a maior melhoria de bolsa médica.,Позволяет создавать самое вместительное улучшение медицинской сумки.,En büyük sıhhiye çantası yükseltmesini üretmeyi öğren.,学习制作最大的医疗包升级件。,學習製作最大的醫療包升級件。
modArmorPackwiselyExplosivesPouchT3Schematic,items,Schematic,,x,Grenadier Pouch Schematic,Teaches you how to craft the Grenadier Pouch.,Bauplan: Grenadiertasche,Esquema de bolsa de granadero,Schéma de poche de grenadier,Schema tasca da granatiere,擲弾兵ポーチ設計図,척탄병 파우치 도식,Schemat torby grenadiera,Esquema da bolsa de granadeiro,Схема подсумка гренадера,Bombacı Cebi Şeması,掷弹兵包图纸,擲彈兵包圖紙
modArmorPackwiselyExplosivesPouchT3SchematicDesc,items,Schematic,,x,Learn to craft a reinforced demolitions pouch upgrade.,Unlocks crafting for the Grenadier Pouch.,"Lerne, eine verstärkte Sprengmeistertaschen-Verbesserung herzustellen.",Aprende a fabricar una mejora reforzada de bolsa de demolición.,Apprenez à fabriquer une amélioration renforcée de poche de démolition.,Impara a creare un potenziamento rinforzato per tasca da demolizioni.,強化された解体用ポーチのアップグレードをクラフトできるようになる。,강화된 철거용 파우치 업그레이드를 제작하는 법을 배웁니다.,Naucz się wytwarzać wzmocnione ulepszenie torby saperskiej.,Aprenda a fabricar uma melhoria reforçada de bolsa de demolição.,Позволяет создавать усиленное улучшение для подсумка подрывника.,Güçlendirilmiş bir yıkım cebi yükseltmesi üretmeyi öğren.,学会制作强化爆破包升级。,學會製作強化爆破包升級。
modArmorPackwiselyExplosivesPouchT4Schematic,items,Schematic,,x,Heavy Demolitions Rig Schematic,Teaches you how to craft the Heavy Demolitions Rig.,Bauplan: Schweres Sprengmeistergeschirr,Esquema de equipo pesado de demolición,Schéma de harnais de démolition lourd,Schema imbrago demolizioni pesante,重装解体リグ設計図,중형 철거 리그 도식,Schemat ciężkiej uprzęży saperskiej,Esquema do colete pesado de demolição,Схема тяжёлой разгрузки подрывника,Ağır Yıkım Teçhizatı Şeması,重型爆破挂具图纸,重型爆破掛具圖紙
modArmorPackwiselyExplosivesPouchT4SchematicDesc,items,Schematic,,x,Learn to craft the largest demolitions pouch upgrade.,Unlocks crafting for the Heavy Demolitions Rig.,"Lerne, die größte Sprengmeistertaschen-Verbesserung herzustellen.",Aprende a fabricar la mejora de bolsa de demolición más grande.,Apprenez à fabriquer la plus grande amélioration de poche de démolition.,Impara a creare il potenziamento più grande per tasca da demolizioni.,最大の解体用ポーチアップグレードをクラフトできるようになる。,가장 큰 철거용 파우치 업그레이드를 제작하는 법을 배웁니다.,Naucz się wytwarzać największe ulepszenie torby saperskiej.,Aprenda a fabricar a maior melhoria de bolsa de demolição.,Позволяет создавать самое вместительное улучшение для подсумка подрывника.,En büyük yıkım cebi yükseltmesini üretmeyi öğren.,学会制作最大的爆破包升级。,學會製作最大的爆破包升級。

# ==================================================================================================
# POUCH BUTTONS AND POUCH FEEDBACK
# Runtime tooltips and short messages for opening pouches and validating pouch storage.
# These are shown by the backpack buttons detached pouch action and virtual pouch container.
# ==================================================================================================
packwisely_open_ammo_pouch,ui,UI,,x,Left Click: Open Ammo Pouch\nRight Click: Fill Ammo Pouch with compatible items.,,Munitionstasche öffnen,Abrir bolsa de munición,Ouvrir la poche à munitions,Apri tasca munizioni,弾薬ポーチを開く,탄약 파우치 열기,Otwórz ładownicę,Abrir bolsa de munição,Открыть подсумок боеприпасов,Sol Tık: Cephane Cebini aç\nSağ Tık: Cephane Cebini uyumlu eşyalarla doldur.,打开弹药包,開啟彈藥包
packwisely_open_medical_pouch,ui,UI,,x,Left Click: Open Medical Pouch\nRight Click: Fill Medical Pouch with compatible items.,,Sanitätstasche öffnen,Abrir bolsa médica,Ouvrir la trousse médicale,Apri borsa medica,医療ポーチを開く,의료 파우치 열기,Otwórz torbę medyczną,Abrir bolsa médica,Открыть медицинскую сумку,Sol Tık: Sıhhiye Çantasını aç\nSağ Tık: Sıhhiye Çantasını uyumlu eşyalarla doldur.,打开医疗包,開啟醫療包
packwisely_open_explosives_pouch,ui,UI,,x,Left Click: Open Demolitions Pouch\nRight Click: Fill Demolitions Pouch with compatible items.,,Linksklick: Sprengmeistertasche öffnen\nRechtsklick: Sprengmeistertasche mit passenden Gegenständen füllen.,Clic izq.: abrir bolsa de demolición\nClic der.: llenar la bolsa de demolición con objetos compatibles.,Clic gauche : ouvrir la poche de démolition\nClic droit : remplir la poche de démolition avec des objets compatibles.,Clic sinistro: apri tasca demolizioni\nClic destro: riempi la tasca demolizioni con oggetti compatibili.,左クリック：解体用ポーチを開く\n右クリック：対応アイテムで解体用ポーチを補充。,왼쪽 클릭: 철거용 파우치 열기\n오른쪽 클릭: 호환 아이템으로 철거용 파우치 채우기.,Lewy przycisk: otwórz torbę saperską\nPrawy przycisk: wypełnij torbę saperską zgodnymi przedmiotami.,Clique esquerdo: abrir bolsa de demolição\nClique direito: encher a bolsa de demolição com itens compatíveis.,ЛКМ: открыть подсумок подрывника\nПКМ: заполнить подсумок подрывника подходящими предметами.,Sol Tık: Yıkım Cebini aç\nSağ Tık: Yıkım Cebini uyumlu eşyalarla doldur.,左键：打开爆破包\n右键：用兼容物品填充爆破包。,左鍵：開啟爆破包\n右鍵：用相容物品填充爆破包。
packwisely_no_ammo_pouch,ui,UI,,x,Requires an equipped ammo pouch armor mod.,,Benötigt ein ausgerüstetes Rüstungsmod für Munitionstaschen.,Requiere un mod de armadura de bolsa de munición equipado.,Nécessite un module d’armure de poche à munitions équipé.,Richiede un mod armatura tasca munizioni equipaggiato.,装備中の弾薬ポーチ防具改造パーツが必要。,장착한 탄약 파우치 방어구 모드가 필요합니다.,Wymaga założonego modyfikatora pancerza z ładownicą.,Requer um mod de armadura de bolsa de munição equipado.,Требуется установленный мод брони с подсумком для боеприпасов.,Takılı bir cephane cebi zırh modu gerektirir.,需要装备弹药包护甲模组。,需要裝備彈藥包護甲模組。
packwisely_no_medical_pouch,ui,UI,,x,Requires an equipped medical pouch armor mod.,,Benötigt ein ausgerüstetes Rüstungsmod für Sanitätstaschen.,Requiere un mod de armadura de bolsa médica equipado.,Nécessite un module d’armure de trousse médicale équipé.,Richiede un mod armatura borsa medica equipaggiato.,装備中の医療ポーチ防具改造パーツが必要。,장착한 의료 파우치 방어구 모드가 필요합니다.,Wymaga założonego modyfikatora pancerza z torbą medyczną.,Requer um mod de armadura de bolsa médica equipado.,Требуется установленный мод брони с медицинской сумкой.,Takılı bir sıhhiye çantası zırh modu gerektirir.,需要装备医疗包护甲模组。,需要裝備醫療包護甲模組。
packwisely_no_explosives_pouch,ui,UI,,x,Requires an equipped demolitions pouch armor mod.,,Benötigt eine ausgerüstete Sprengmeistertasche als Rüstungsmod.,Requiere un mod de armadura de bolsa de demolición equipado.,Nécessite un mod d’armure de poche de démolition équipé.,Richiede un mod armatura tasca demolizioni equipaggiato.,装備中の解体用ポーチ防具MODが必要です。,장착된 철거용 파우치 방어구 모드가 필요합니다.,Wymaga założonego modu pancerza: torba saperska.,Requer um mod de armadura de bolsa de demolição equipado.,Требуется установленный мод брони с подсумком подрывника.,Takılı bir yıkım cebi zırh modu gerektirir.,需要已装备的爆破包护甲模组。,需要已裝備的爆破包護甲模組。
